school_name,school_code,latitude,longitude,status,google_name,google_lat,google_lng,google_address,distance_m,your_pin_link,google_pin_link
SJK(T) LADANG MINYAK,BBD5052,3.457134,101.483063,not_on_google,,,,,,"https://www.google.com/maps?q=3.457134,101.483063",
SJK(T) LADANG SUNGAI TIMAH,ABD5111,4.04499,100.992433,not_on_google,,,,,,"https://www.google.com/maps?q=4.04499,100.992433",
SJK(T) LADANG BADENOCH,KBD0048,5.55678,100.75957,confirmed,SJK(T) LDG Badenoch,5.5537188,100.7605546,"Ladang Badenoch Kuala Ketil, 09100 Kuala Ketil, Kedah, Malaysia",357.0,"https://www.google.com/maps?q=5.55678,100.75957","https://www.google.com/maps?q=5.5537188,100.7605546"
SJK(T) LADANG LIMA BELAS,BBD5051,3.78761,101.354642,not_on_google,,,,,,"https://www.google.com/maps?q=3.78761,101.354642",
SJK(T) LADANG LAYANG,JBD2033,1.80875,103.455232,confirmed,Sekolah Jenis Kebangsaan (T) Ladang Layang,1.8094173,103.4546814,"Ladang, 81850 Layang-Layang, Johor, Malaysia",96.0,"https://www.google.com/maps?q=1.80875,103.455232","https://www.google.com/maps?q=1.8094173,103.4546814"
SJK(T) LADANG BOH (1),CBD1013,4.448255556,101.4255333,confirmed,SRJK(T) Ladang Boh (1),4.4475962,101.4259914,"Ladang Boh 1 Ringlet Cameron Highlands, 39000, Pahang, Malaysia",89.0,"https://www.google.com/maps?q=4.448255556,101.4255333","https://www.google.com/maps?q=4.4475962,101.4259914"
SJK(T) LADANG BUDU,CBD3048,4.04128,102.002,confirmed,SJKT LADANG BUDU,4.039979,102.001271,"22Q2+XG, Benta, Pahang, Malaysia",166.0,"https://www.google.com/maps?q=4.04128,102.002","https://www.google.com/maps?q=4.039979,102.001271"
SJK(T) LADANG SABRANG,ABD5112,4.009994,101.0018,confirmed,SRJK T Ladang Sabrang,4.0102186,101.0020966,"36000 Teluk Intan, Perak, Malaysia",41.0,"https://www.google.com/maps?q=4.009994,101.0018","https://www.google.com/maps?q=4.0102186,101.0020966"
SJK(T) LADANG SERAPOH,ABD8452,4.52226,100.890001,confirmed,Sjk(T)Ladang Serapoh,4.5223658,100.8900136,"Ladang Serapoh, Kampung Serapoh, 32810 Parit, Perak, Malaysia",12.0,"https://www.google.com/maps?q=4.52226,100.890001","https://www.google.com/maps?q=4.5223658,100.8900136"
SJK(T) LADANG DUBLIN BHG. 7,KBD5058,5.36151,100.739,confirmed,SJK(T) Ladang Dublin Bahagian 7,5.3614314,100.7389534,"BHG. 7, Ladang Dublin Karangan, 09700 Karangan, Kedah, Malaysia",10.0,"https://www.google.com/maps?q=5.36151,100.739","https://www.google.com/maps?q=5.3614314,100.7389534"
